"verb","feature_raw","feature_clean","feature_revised","revision","feature_type","feature_english","comment"
"hakken","verdelen in stukken","verdelen in stukken","","","","",""
"hakken","arm","arm","","","","",""
"hakken","spierkracht","spierkracht","","","","",""
"hakken","gereedschap","gereedschap","","","","",""
"haasten","onrustig","onrustig","","","","",""
"haasten","klok","klok","","","","",""
"haasten","tijd","tijd","","","","",""
"haasten","snelheid","snelheid","","","","",""
"dolen","zoekend","zoekend","","","","",""
"dolen","wandelen","wandelen","","","","",""
"dolen","vragend","vragend","","","","",""
"dolen","lopend","lopend","","","","",""
"sluipen","inbreker","inbreker","","","","",""
"sluipen","onopgemerkt","onopgemerkt","","","","",""
"sluipen","op tenen","op tenen","","","","",""
"sluipen","ongezien","ongezien","","","","",""
"banjeren","druk","druk","","","","",""
"banjeren","ongeremd","ongeremd","","","","",""
"banjeren","chaotisch","chaotisch","","","","",""
"banjeren","haastig","haastig","","","","",""
"walsen","lomp","lomp","","","","",""
"walsen","schreeuwen","schreeuwen","","","","",""
"walsen","hoogste woord voeren","hoogste woord voeren","","","","",""
"walsen","grote mond","grote mond","","","","",""
"walsen","brutaal","brutaal","","","","",""
"knippen","in papier","in papier","","","","",""
"knippen","in stof","in stof","","","","",""
"knippen","figuren","figuren","","","","",""
"knippen","uit krant","uit krant","","","","",""
"wijken","ontlopen","ontlopen","","","","",""
"wijken","niet willen zien","niet willen zien","","","","",""
"wijken","ontkomen","ontkomen","","","","",""
"wijken","geen zin in hebben","geen zin in hebben","","","","",""
"wijken","verplichting","verplichting","","","","",""
"spoeden","haastig","haastig","","","","",""
"spoeden","geen uitstel","geen uitstel","","","","",""
"spoeden","snelheid","snelheid","","","","",""
"spoeden","zo snel mogelijk","zo snel mogelijk","","","","",""
"slingeren","dronken","dronken","","","","",""
"slingeren","op de weg","op de weg","","","","",""
"slingeren","fietsen","fietsen","","","","",""
"slingeren","onsamenhangend","onsamenhangend","","","","",""
"slingeren","alle kanten op","alle kanten op","","","","",""
"klimmen","lichamelijk","lichamelijk","","","","",""
"klimmen","benen","benen","","","","",""
"klimmen","gereedschap","gereedschap","","","","",""
"klimmen","touwen","touwen","","","","",""
"klimmen","zekering","zekering","","","","",""
"hardlopen","sport","sport","","","","",""
"hardlopen","bos","bos","","","","",""
"hardlopen","snelheid","snelheid","","","","",""
"hardlopen","blessure","blessure","","","","",""
"hardlopen","benen","benen","","","","",""
"hardlopen","knie","knie","","","","",""
"hardlopen","zweten","zweten","","","","",""
"lopen","bos","bos","","","","",""
"lopen","voet","voet","","","","",""
"lopen","naar werk","naar werk","","","","",""
"lopen","naar winkel","naar winkel","","","","",""
"glippen","geen grip","geen grip","","","","",""
"glippen","ongeremd","ongeremd","","","","",""
"glippen","ongezien","ongezien","","","","",""
"slingeren","van de ene naar de andere kant","van de ene naar de andere kant","","","","",""
"slingeren","actief","actief","","","","",""
"klimmen","actief","actief","","","","",""
"klimmen","in een boom","in een boom","","","","",""
"klimmen","omlaag","omlaag","","","","",""
"hakken","schoenen","schoenen","","","","",""
"hakken","zere voeten","zere voeten","","","","",""
"hakken","pumps","pumps","","","","",""
"hakken","hoog","hoog","","","","",""
"hakken","puntig","puntig","","","","",""
"hardlopen","hardloopschoen","hardloopschoen","","","","",""
"hardlopen","constante snelheid","constante snelheid","","","","",""
"sluipen","als een leeuw","als een leeuw","","","","",""
"sluipen","zachtjes doen","zachtjes doen","","","","",""
"sluipen","op je tenen lopen","op je tenen lopen","","","","",""
"sluipen","niemand hoort je","niemand hoort je","","","","",""
"sluipen","zo stil mogelijk","zo stil mogelijk","","","","",""
"walsen","actief","actief","","","","",""
"walsen","partner","partner","","","","",""
"walsen","stijldansen","stijldansen","","","","",""
"knippen","met de handen","met de handen","","","","",""
"knippen","fijne motoriek","fijne motoriek","","","","",""
"knippen","golflijn","golflijn","","","","",""
"knippen","rechte lijn","rechte lijn","","","","",""
"banjeren","actief","actief","","","","",""
"banjeren","op schoenen","op schoenen","","","","",""
"schuifelen","voetje voor voetje","voetje voor voetje","","","","",""
"schuifelen","zachtjes","zachtjes","","","","",""
"schuifelen","voorzichtig","voorzichtig","","","","",""
"schuifelen","langzaam lopen","langzaam lopen","","","","",""
"lopen","op je voeten","op je voeten","","","","",""
"lopen","ergens naartoe","ergens naartoe","","","","",""
"lopen","actief","actief","","","","",""
"lopen","over de weg","over de weg","","","","",""
"spoeden","snel zijn","snel zijn","","","","",""
"spoeden","hulp","hulp","","","","",""
"spoeden","spoedgeval","spoedgeval","","","","",""
"spoeden","behulpzaam","behulpzaam","","","","",""
"kloppen","met je vuist","met je vuist","","","","",""
"kloppen","in plaats van bellen","in plaats van bellen","","","","",""
"kloppen","zachtjes de deur aantikken","zachtjes de deur aantikken","","","","",""
"kloppen","bonk geluid","bonk geluid","","","","",""
"haasten","snel doen","snel doen","","","","",""
"haasten","weinig tijd","weinig tijd","","","","",""
"haasten","zo snel mogelijk","zo snel mogelijk","","","","",""
"haasten","alles bij elkaar rapen","alles bij elkaar rapen","","","","",""
"dolen","doelloos rondlopen","doelloos rondlopen","","","","",""
"dolen","de weg kwijt","de weg kwijt","","","","",""
"dolen","in een doolhof","in een doolhof","","","","",""
"dolen","zoeken","zoeken","","","","",""
"slaaten","geen","geen","","","","",""
"slaaten","idee","idee","","","","",""
"slaaten","wat","wat","","","","",""
"slaaten","is?","is?","","","","",""
"afdalen","actief","actief","","","","",""
"afdalen","schuin naar beneden","schuin naar beneden","","","","",""
"wijken","uitwijken","uitwijken","","","","",""
"wijken","afwijken","afwijken","","","","",""
"wijken","aan de kant voor iemand","aan de kant voor iemand","","","","",""
"wijken","naar links","naar links","","","","",""
"wijken","naar rechts","naar rechts","","","","",""
"kuieren","sloom","sloom","","","","",""
"kuieren","niet snel","niet snel","","","","",""
"kuieren","traag","traag","","","","",""
"kuieren","rustig aan","rustig aan","","","","",""
"snijden","op een snijplank","op een snijplank","","","","",""
"snijden","hakbeweging","hakbeweging","","","","",""
"snijden","groente snijden","groente snijden","","","","",""
"snijden","snelheid","snelheid","","","","",""
"marcheren","lopen op de maat","lopen op de maat","","","","",""
"marcheren","bewegen op de maat","bewegen op de maat","","","","",""
"marcheren","in gelijk tempo","in gelijk tempo","","","","",""
"marcheren","met z'n allen tegelijk","met z'n allen tegelijk","","","","",""
"marcheren","actief","actief","","","","",""
"glippen","er tussenuit sneaken","er tussenuit sneaken","","","","",""
"glippen","ongezien wegkomen","ongezien wegkomen","","","","",""
"glippen","ergens tussendoor glippen","ergens tussendoor glippen","","","","",""
"glippen","sneaky","sneaky","","","","",""
"glippen","ontkomen","ontkomen","","","","",""
"glippen","geheim","geheim","","","","",""
"glippen","verdwijnen","verdwijnen","","","","",""
"hardlopen","wedstrijd","wedstrijd","","","","",""
"dolen","verleden","verleden","","","","",""
"dolen","verdwaalt","verdwaalt","","","","",""
"hakken","hardcore","hardcore","","","","",""
"hakken","natuur","natuur","","","","",""
"hakken","feest","feest","","","","",""
"hakken","muziek","muziek","","","","",""
"hakken","omvallen","omvallen","","","","",""
"banjeren","rondjes lopen","rondjes lopen","","","","",""
"banjeren","verdwaald","verdwaald","","","","",""
"banjeren","modder","modder","","","","",""
"banjeren","doelloos","doelloos","","","","",""
"banjeren","vies worden","vies worden","","","","",""
"sluipen","glippen","glippen","","","","",""
"sluipen","bespieden","bespieden","","","","",""
"sluipen","schrikken","schrikken","","","","",""
"slingeren","auto","auto","","","","",""
"slingeren","fiets","fiets","","","","",""
"slingeren","moe","moe","","","","",""
"slingeren","gooien","gooien","","","","",""
"marcheren","kisten","kisten","","","","",""
"marcheren","maat","maat","","","","",""
"marcheren","formatie","formatie","","","","",""
"marcheren","rotten","rotten","","","","",""
"marcheren","gelederen","gelederen","","","","",""
"walsen","overtreffen","overtreffen","","","","",""
"walsen","overheen","overheen","","","","",""
"walsen","verslaan","verslaan","","","","",""
"walsen","asfalt","asfalt","","","","",""
"walsen","bouwen","bouwen","","","","",""
"walsen","verbeteren","verbeteren","","","","",""
"kuieren","dragen","dragen","","","","",""
"kuieren","meenemen","meenemen","","","","",""
"kuieren","slepen","slepen","","","","",""
"kuieren","last","last","","","","",""
"haasten","snellen","snellen","","","","",""
"haasten","rennen","rennen","","","","",""
"haasten","bus halen","bus halen","","","","",""
"lopen","weg","weg","","","","",""
"lopen","pad","pad","","","","",""
"lopen","dagelijks","dagelijks","","","","",""
"lopen","trappen","trappen","","","","",""
"lopen","werken","werken","","","","",""
"afdalen","touw","touw","","","","",""
"afdalen","pad","pad","","","","",""
"afdalen","trap","trap","","","","",""
"afdalen","kelder","kelder","","","","",""
"afdalen","berghelling","berghelling","","","","",""
"kloppen","aankondigen","aankondigen","","","","",""
"kloppen","aanwezigheid","aanwezigheid","","","","",""
"kloppen","bel","bel","","","","",""
"wijken","woonwijken","woonwijken","","","","",""
"wijken","huizen","huizen","","","","",""
"wijken","aan de kant gaan","aan de kant gaan","","","","",""
"wijken","doel","doel","","","","",""
"wijken","verkeer","verkeer","","","","",""
"klimmen","wand","wand","","","","",""
"klimmen","touw","touw","","","","",""
"klimmen","binnen","binnen","","","","",""
"klimmen","buiten","buiten","","","","",""
"spoeden","verplaatsen","verplaatsen","","","","",""
"spoeden","hulp bieden","hulp bieden","","","","",""
"spoeden","hulpdiensten","hulpdiensten","","","","",""
"snijden","boter","boter","","","","",""
"snijden","touw","touw","","","","",""
"schuifelen","basisschool","basisschool","","","","",""
"schuifelen","geslacht","geslacht","","","","",""
"knippen","school","school","","","","",""
"knippen","kleuters","kleuters","","","","",""
"knippen","touw","touw","","","","",""
"slaaten","verzonnen","verzonnen","","","","",""
"slaaten","nep","nep","","","","",""
"slaaten","geen idee","geen idee","","","","",""
"slaaten","geen definitie","geen definitie","","","","",""
"slaaten","weet niet","weet niet","","","","",""
"klimmen","met handen","met handen","","","","",""
"spoeden","dringend","dringend","","","","",""
"spoeden","opschieten","opschieten","","","","",""
"dolen","geen bestemming","geen bestemming","","","","",""
"dolen","langzaam","langzaam","","","","",""
"dolen","slenteren","slenteren","","","","",""
"banjeren","zand","zand","","","","",""
"banjeren","voeten niet optillen","voeten niet optillen","","","","",""
"banjeren","langzaam","langzaam","","","","",""
"banjeren","rustig","rustig","","","","",""
"sluipen","geruisloos","geruisloos","","","","",""
"sluipen","onzichtbaar","onzichtbaar","","","","",""
"kloppen","geluidmaken","geluidmaken","","","","",""
"kloppen","knokkels","knokkels","","","","",""
"kloppen","tikken","tikken","","","","",""
"wijken","opzij gaan","opzij gaan","","","","",""
"wijken","sturen","sturen","","","","",""
"wijken","koers","koers","","","","",""
"wijken","wijzigen","wijzigen","","","","",""
"hakken","snel","snel","","","","",""
"hakken","ritme","ritme","","","","",""
"hakken","grond","grond","","","","",""
"hakken","springen","springen","","","","",""
"lopen","voorwaarts","voorwaarts","","","","",""
"lopen","grond","grond","","","","",""
"kuieren","zand","zand","","","","",""
"kuieren","ondergrond","ondergrond","","","","",""
"kuieren","platteland","platteland","","","","",""
"slaaten","lopen","lopen","","","","",""
"slaaten","snel","snel","","","","",""
"slaaten","haast","haast","","","","",""
"slaaten","spoed","spoed","","","","",""
"slaaten","dringend","dringend","","","","",""
"haasten","spoed","spoed","","","","",""
"haasten","iets halen","iets halen","","","","",""
"haasten","haast","haast","","","","",""
"marcheren","soldaat","soldaat","","","","",""
"marcheren","strak","strak","","","","",""
"marcheren","rechts","rechts","","","","",""
"marcheren","links","links","","","","",""
"slingeren","sturen","sturen","","","","",""
"slingeren","gevaarlijk","gevaarlijk","","","","",""
"slingeren","niet scheef","niet scheef","","","","",""
"walsen","stijl","stijl","","","","",""
"glippen","krap","krap","","","","",""
"glippen","tussendoor","tussendoor","","","","",""
"glippen","gaan","gaan","","","","",""
"schuifelen","twee","twee","","","","",""
"schuifelen","rustig","rustig","","","","",""
"snijden","verbreken","verbreken","","","","",""
"snijden","in stukjes","in stukjes","","","","",""
"knippen","in stukjes","in stukjes","","","","",""
"knippen","kapotmaken","kapotmaken","","","","",""
"knippen","breken","breken","","","","",""
"afdalen","hoogte","hoogte","","","","",""
"afdalen","gaan","gaan","","","","",""
"wijken","niet op ingaan","niet op ingaan","","","","",""
"wijken","passief","passief","","","","",""
"wijken","niet aangaan","niet aangaan","","","","",""
"wijken","niet dapper","niet dapper","","","","",""
"wijken","plaats maken","plaats maken","","","","",""
"wijken","geen aanvaring","geen aanvaring","","","","",""
"knippen","met schaar","met schaar","","","","",""
"knippen","maakt kleiner/korter","maakt kleiner/korter","","","","",""
"knippen","in papier/ haar","in papier/ haar","","","","",""
"knippen","verdelen","verdelen","","","","",""
"knippen","vaak in rechte lijn","vaak in rechte lijn","","","","",""
"knippen","kapot maken","kapot maken","","","","",""
"knippen","geen geheel meer","geen geheel meer","","","","",""
"knippen","in stukken","in stukken","","","","",""
"knippen","snel","snel","","","","",""
"hakken","boomstammen","boomstammen","","","","",""
"hakken","met bijl","met bijl","","","","",""
"hakken","gevaarlijk","gevaarlijk","","","","",""
"hakken","op boomstam","op boomstam","","","","",""
"hakken","volle kracht","volle kracht","","","","",""
"hakken","delen","delen","","","","",""
"hakken","kleinere stukken","kleinere stukken","","","","",""
"hakken","door mens","door mens","","","","",""
"hakken","activiteit","activiteit","","","","",""
"banjeren","ijsberen","ijsberen","","","","",""
"banjeren","heen en weer lopen","heen en weer lopen","","","","",""
"banjeren","spanning","spanning","","","","",""
"banjeren","gespannen","gespannen","","","","",""
"banjeren","onprettig","onprettig","","","","",""
"banjeren","onbehouden","onbehouden","","","","",""
"banjeren","onrust","onrust","","","","",""
"walsen","bewegen","bewegen","","","","",""
"walsen","in duo","in duo","","","","",""
"walsen","plat maken","plat maken","","","","",""
"walsen","sterk","sterk","","","","",""
"walsen","warm of koud","warm of koud","","","","",""
"walsen","cilinder","cilinder","","","","",""
"hardlopen","sneller dan joggen","sneller dan joggen","","","","",""
"hardlopen","volop","volop","","","","",""
"hardlopen","afstand","afstand","","","","",""
"hardlopen","zweet","zweet","","","","",""
"hardlopen","hartkloppingen","hartkloppingen","","","","",""
"hardlopen","intensief","intensief","","","","",""
"hardlopen","cardio","cardio","","","","",""
"schuifelen","intiem","intiem","","","","",""
"schuifelen","sloffen","sloffen","","","","",""
"schuifelen","lui","lui","","","","",""
"schuifelen","voeten niet optillen","voeten niet optillen","","","","",""
"schuifelen","slenteren","slenteren","","","","",""
"schuifelen","traag","traag","","","","",""
"schuifelen","geen haast","geen haast","","","","",""
"schuifelen","niet actief","niet actief","","","","",""
"afdalen","langzaam","langzaam","","","","",""
"afdalen","beheersd","beheersd","","","","",""
"afdalen","rustig","rustig","","","","",""
"afdalen","geconcentreerd","geconcentreerd","","","","",""
"afdalen","naar grond","naar grond","","","","",""
"afdalen","zwaartekracht","zwaartekracht","","","","",""
"afdalen","soms met touw","soms met touw","","","","",""
"afdalen","verticaal","verticaal","","","","",""
"afdalen","voorzichtig","voorzichtig","","","","",""
"sluipen","beheersd","beheersd","","","","",""
"sluipen","rustig","rustig","","","","",""
"sluipen","geen lawaai","geen lawaai","","","","",""
"sluipen","traag","traag","","","","",""
"sluipen","glijden","glijden","","","","",""
"sluipen","geen geluid","geen geluid","","","","",""
"sluipen","in stilte","in stilte","","","","",""
"kloppen","vaak op deur","vaak op deur","","","","",""
"kloppen","met knokkels","met knokkels","","","","",""
"kloppen","aanwezigheid tonen","aanwezigheid tonen","","","","",""
"kloppen","deur huis","deur huis","","","","",""
"kloppen","geen bel","geen bel","","","","",""
"kloppen","bakken","bakken","","","","",""
"kloppen","ingredienten mixen","ingredienten mixen","","","","",""
"kloppen","garde","garde","","","","",""
"kloppen","geheel vormen","geheel vormen","","","","",""
"kloppen","mengen","mengen","","","","",""
"snijden","met mes","met mes","","","","",""
"snijden","door mens","door mens","","","","",""
"snijden","eten","eten","","","","",""
"snijden","op plank","op plank","","","","",""
"snijden","koken","koken","","","","",""
"snijden","voorbereiden","voorbereiden","","","","",""
"snijden","geen geheel","geen geheel","","","","",""
"snijden","gevaarlijk","gevaarlijk","","","","",""
"snijden","kleinere stukjes","kleinere stukjes","","","","",""
"klimmen","door mens/dier","door mens/dier","","","","",""
"klimmen","kan in boom","kan in boom","","","","",""
"klimmen","armen en benen","armen en benen","","","","",""
"klimmen","inspanning","inspanning","","","","",""
"klimmen","hoger geraken","hoger geraken","","","","",""
"klimmen","zwaar","zwaar","","","","",""
"klimmen","activiteit","activiteit","","","","",""
"klimmen","gevaarlijk","gevaarlijk","","","","",""
"klimmen","leuk","leuk","","","","",""
"dolen","rondzwerven","rondzwerven","","","","",""
"dolen","geen eindbestemming","geen eindbestemming","","","","",""
"dolen","geen orientatie","geen orientatie","","","","",""
"dolen","geen kennis","geen kennis","","","","",""
"dolen","op zoek","op zoek","","","","",""
"dolen","random","random","","","","",""
"dolen","geen tijd","geen tijd","","","","",""
"glippen","water","water","","","","",""
"glippen","ijs","ijs","","","","",""
"glippen","uitglijden","uitglijden","","","","",""
"glippen","gevaarlijk","gevaarlijk","","","","",""
"glippen","geen houvast","geen houvast","","","","",""
"glippen","gevolg kan pijn doen","gevolg kan pijn doen","","","","",""
"slingeren","touw","touw","","","","",""
"slingeren","aap","aap","","","","",""
"slingeren","mens","mens","","","","",""
"slingeren","horizontaal","horizontaal","","","","",""
"slingeren","stopt na een moment","stopt na een moment","","","","",""
"slingeren","heeft aanzet nodig","heeft aanzet nodig","","","","",""
"slingeren","op en neer","op en neer","","","","",""
"slingeren","leuk","leuk","","","","",""
"spoeden","tijd te kort","tijd te kort","","","","",""
"spoeden","vlug","vlug","","","","",""
"spoeden","rennen","rennen","","","","",""
"spoeden","heet","heet","","","","",""
"spoeden","onrustig","onrustig","","","","",""
"spoeden","dingen vergeten","dingen vergeten","","","","",""
"spoeden","tijdstip halen","tijdstip halen","","","","",""
"spoeden","sneller dan normaal","sneller dan normaal","","","","",""
"slaaten","dit woord ken ik niet","dit woord ken ik niet","","","","",""
"slaaten","ken ik niet","ken ik niet","","","","",""
"haasten","snel zijn","snel zijn","","","","",""
"haasten","spoeien","spoeien","","","","",""
"haasten","onrust","onrust","","","","",""
"haasten","sneller dan normaal","sneller dan normaal","","","","",""
"haasten","tijd te kort","tijd te kort","","","","",""
"lopen","sneller dan wandelen","sneller dan wandelen","","","","",""
"lopen","trager dan sprinten","trager dan sprinten","","","","",""
"lopen","sneller dan joggen","sneller dan joggen","","","","",""
"lopen","haast","haast","","","","",""
"lopen","sporten","sporten","","","","",""
"kuieren","met plezier","met plezier","","","","",""
"kuieren","traag wandelen","traag wandelen","","","","",""
"marcheren","harde stappen","harde stappen","","","","",""
"marcheren","tegelijk","tegelijk","","","","",""
"marcheren","volle kracht","volle kracht","","","","",""
"marcheren","moed","moed","","","","",""
"sluipen","actie","actie","","","","",""
"hardlopen","actie","actie","","","","",""
"hardlopen","voortbewegen","voortbewegen","","","","",""
"marcheren","actie","actie","","","","",""
"marcheren","op de maat","op de maat","","","","",""
"marcheren","langzaam","langzaam","","","","",""
"marcheren","groep","groep","","","","",""
"klimmen","actie","actie","","","","",""
"klimmen","klauteren","klauteren","","","","",""
"klimmen","vastpakken","vastpakken","","","","",""
"klimmen","steile muur","steile muur","","","","",""
"klimmen","inspannend","inspannend","","","","",""
"kloppen","trommelen","trommelen","","","","",""
"kloppen","oppervlakte","oppervlakte","","","","",""
"kloppen","aankomst","aankomst","","","","",""
"kuieren","langzaam","langzaam","","","","",""
"kuieren","rondkijken","rondkijken","","","","",""
"kuieren","doelloos","doelloos","","","","",""
"kuieren","kleine stappen","kleine stappen","","","","",""
"knippen","beweging","beweging","","","","",""
"knippen","iets open maken","iets open maken","","","","",""
"glippen","schieten","schieten","","","","",""
"wijken","opzij","opzij","","","","",""
"wijken","beweging","beweging","","","","",""
"wijken","lichamelijk","lichamelijk","","","","",""
"wijken","voorwerp","voorwerp","","","","",""
"schuifelen","stapjes","stapjes","","","","",""
"schuifelen","lopend","lopend","","","","",""
"slingeren","ergens aan hangen","ergens aan hangen","","","","",""
"slingeren","duwen","duwen","","","","",""
"haasten","tijdsnood","tijdsnood","","","","",""
"haasten","voortmaken","voortmaken","","","","",""
"haasten","doorgaan","doorgaan","","","","",""
"slaaten","geluid","geluid","","","","",""
"slaaten","gilletje","gilletje","","","","",""
"slaaten","blijdschap","blijdschap","","","","",""
"slaaten","verwondering","verwondering","","","","",""
"slaaten","hardop","hardop","","","","",""
"lopen","beweging","beweging","","","","",""
"lopen","voortbewegen","voortbewegen","","","","",""
"lopen","niet rennen","niet rennen","","","","",""
"afdalen","lagere hoogte","lagere hoogte","","","","",""
"afdalen","beweging","beweging","","","","",""
"afdalen","benen","benen","","","","",""
"afdalen","fiets","fiets","","","","",""
"snijden","hakken","hakken","","","","",""
"snijden","kartels","kartels","","","","",""
"snijden","iets delen","iets delen","","","","",""
"walsen","machine","machine","","","","",""
"walsen","rond","rond","","","","",""
"walsen","lopend","lopend","","","","",""
"walsen","groep","groep","","","","",""
"hakken","beweging","beweging","","","","",""
"hakken","slaan","slaan","","","","",""
"hakken","doormidden","doormidden","","","","",""
"banjeren","beweging","beweging","","","","",""
"banjeren","nat terrein","nat terrein","","","","",""
"banjeren","plassen","plassen","","","","",""
"spoeden","tijdsnood","tijdsnood","","","","",""
"spoeden","actie","actie","","","","",""
"dolen","weg kwijt","weg kwijt","","","","",""
"dolen","rondtrekken","rondtrekken","","","","",""
"dolen","alle tijd","alle tijd","","","","",""
"dolen","door mensen","door mensen","","","","",""
"dolen","de weg zoeken","de weg zoeken","","","","",""
"knippen","papier/karton/haar","papier/karton/haar","","","","",""
"knippen","scherp","scherp","","","","",""
"knippen","handmatig","handmatig","","","","",""
"knippen","vormgevend","vormgevend","","","","",""
"hardlopen","menselijk","menselijk","","","","",""
"hardlopen","te voet","te voet","","","","",""
"walsen","ritmisch","ritmisch","","","","",""
"walsen","stoomwals/machine","stoomwals/machine","","","","",""
"banjeren","zonder echt doel","zonder echt doel","","","","",""
"banjeren","hangerig","hangerig","","","","",""
"banjeren","buiten","buiten","","","","",""
"banjeren","menselijk","menselijk","","","","",""
"banjeren","gezellig","gezellig","","","","",""
"spoeden","te voet","te voet","","","","",""
"spoeden","met een voertuig","met een voertuig","","","","",""
"spoeden","bestemming","bestemming","","","","",""
"spoeden","onvrijwillig","onvrijwillig","","","","",""
"afdalen","actie","actie","","","","",""
"afdalen","menselijk en dierlijk","menselijk en dierlijk","","","","",""
"afdalen","te voet of in een voertuig","te voet of in een voertuig","","","","",""
"lopen","actie","actie","","","","",""
"lopen","onderlichaam","onderlichaam","","","","",""
"lopen","doelbewust","doelbewust","","","","",""
"wijken","actie","actie","","","","",""
"wijken","direct en indirect","direct en indirect","","","","",""
"wijken","plaatsmaken voor iets/iemand anders","plaatsmaken voor iets/iemand anders","","","","",""
"wijken","menselijk en levenloze objecten","menselijk en levenloze objecten","","","","",""
"slaaten","is","is","","","","",""
"slaaten","volgens","volgens","","","","",""
"slaaten","mij","mij","","","","",""
"sluipen","doel","doel","","","","",""
"sluipen","menselijk en dierlijk","menselijk en dierlijk","","","","",""
"snijden","actie","actie","","","","",""
"snijden","in stukken","in stukken","","","","",""
"snijden","mes of tanden","mes of tanden","","","","",""
"snijden","menselijk","menselijk","","","","",""
"kuieren","vrolijk","vrolijk","","","","",""
"kuieren","ontspannend","ontspannend","","","","",""
"kuieren","actie","actie","","","","",""
"kuieren","menselijk","menselijk","","","","",""
"marcheren","uniform","uniform","","","","",""
"marcheren","geluid","geluid","","","","",""
"schuifelen","menselijk","menselijk","","","","",""
"schuifelen","actie","actie","","","","",""
"haasten","doel","doel","","","","",""
"haasten","actie","actie","","","","",""
"haasten","menselijk","menselijk","","","","",""
"haasten","meer dan gebruikelijk","meer dan gebruikelijk","","","","",""
"kloppen","actie","actie","","","","",""
"kloppen","muur/deur","muur/deur","","","","",""
"kloppen","vuist/snavel/hamer","vuist/snavel/hamer","","","","",""
"kloppen","menselijk en dierlijk","menselijk en dierlijk","","","","",""
"hakken","actie","actie","","","","",""
"hakken","met armen","met armen","","","","",""
"hakken","dans","dans","","","","",""
"glippen","ongrijpbaar","ongrijpbaar","","","","",""
"glippen","actie","actie","","","","",""
"glippen","bevrijding","bevrijding","","","","",""
"slingeren","hangen","hangen","","","","",""
"slingeren","actie","actie","","","","",""
"slingeren","aan iets","aan iets","","","","",""
"slingeren","door een klok","door een klok","","","","",""
"slingeren","door mensen/apen","door mensen/apen","","","","",""
"klimmen","tegen een berg","tegen een berg","","","","",""
"klimmen","met een vliegtuig","met een vliegtuig","","","","",""
