verb,response_raw,response_clean,valid_response,comment
klimmen,naar de top van de berg via het mooie uitzichtpunt,naar de top van de berg via het mooie uitzichtpunt,,
kloppen,de hoogste snelheid door via de brug te rijden,de hoogste snelheid door via de brug te rijden,,
glippen,naar binnen in de winkel via de deur,naar binnen in de winkel via de deur,,
spoeden,zich naar het ziekenhuis via de a1,zich naar het ziekenhuis via de a1,,
marcheren,met het orkest naar het park via het grote plein,met het orkest naar het park via het grote plein,,
afdalen,naar de kelder af via de kleine trap,naar de kelder af via de kleine trap,,
sluipen,langs het huis via het bospad,langs het huis via het bospad,,
hardlopen,graag hard via de rustige weg,graag hard via de rustige weg,,
kuieren,langs de molens via de weilanden,langs de molens via de weilanden,,
banjeren,door de plassen in het weiland via het landweggetje,door de plassen in het weiland via het landweggetje,,
slingeren,naar de grote boom via de bomen met lianen,naar de grote boom via de bomen met lianen,,
snijden,de weg af via de brug,de weg af via de brug,,
hakken,een nieuwe weg uit de berg via de bosrand,een nieuwe weg uit de berg via de bosrand,,
haasten,zich naar het ziekenhuis via de snelweg,zich naar het ziekenhuis via de snelweg,,
lopen,een rondje via het bos,een rondje via het bos,,
walsen,naar de bar via het midden van de feestzaal,naar de bar via het midden van de feestzaal,,
dolen,door het bos via het kasteel,door het bos via het kasteel,,
slaaten,zich erdoor heen via de weg,zich erdoor heen via de weg,,
wijken,voor de vrachtwagen een zijweg,voor de vrachtwagen een zijweg,,
schuifelen,naar het bejaardencentrum via de supermarkt,naar het bejaardencentrum via de supermarkt,,
knippen,zich een weg door het hek via de losse draden,zich een weg door het hek via de losse draden,,
haasten,het station naar huis,het station naar huis,,
schuifelen,"naar voren, de rode loper","naar voren, de rode loper",,
glippen,naar binnen via de achterdeur,naar binnen via de achterdeur,,
slingeren,naar het stoplicht via het fietspad,naar het stoplicht via het fietspad,,
hakken,het houtblok via het bos,het houtblok via het bos,,
sluipen,naar binnen via het raam,naar binnen via het raam,,
hardlopen,zij lopen naar huis hard via het museum,zij lopen naar huis hard via het museum,,
slaaten,zij slaaten in het centrum via de grote weg,zij slaaten in het centrum via de grote weg,,
kloppen,zij kloppen de deur via de drempel,zij kloppen de deur via de drempel,,
afdalen,zij dalen naar beneden af via de slingerweg,zij dalen naar beneden af via de slingerweg,,
banjeren,zij banjeren naar huis via een omweg,zij banjeren naar huis via een omweg,,
knippen,zij knippen het haar via de schaar,zij knippen het haar via de schaar,,
snijden,zij snijden het blad via de tuin,zij snijden het blad via de tuin,,
spoeden,zij spoeden naar het ziekenhuis via de bekende weg,zij spoeden naar het ziekenhuis via de bekende weg,,
lopen,zij lopen naar oma via het steegje,zij lopen naar oma via het steegje,,
dolen,zij dolen naar het cafe via het steegje,zij dolen naar het cafe via het steegje,,
walsen,zij walsen naar de dansclub via het park,zij walsen naar de dansclub via het park,,
wijken,zij wijken voor de auto via de stoep,zij wijken voor de auto via de stoep,,
klimmen,zij klimmen de berg op via kleine paadjes,zij klimmen de berg op via kleine paadjes,,
marcheren,zij marcheren naar het dorp via het bos,zij marcheren naar het dorp via het bos,,
kuieren,zij kuieren naar het strand via de boulevard,zij kuieren naar het strand via de boulevard,,
kuieren,zij kuieren en hebben contact via skype,zij kuieren en hebben contact via skype,,
lopen,zij lopen via de winkel naar huis,zij lopen via de winkel naar huis,,
dolen,zij dolen richting het park via de brug,zij dolen richting het park via de brug,,
walsen,zij walsen tijdens de uitzending via een livevideo,zij walsen tijdens de uitzending via een livevideo,,
slingeren,zij slingeren het huis via de lamp en de kast,zij slingeren het huis via de lamp en de kast,,
hakken,zij hakken en overleggen over bomen via de houthakker,zij hakken en overleggen over bomen via de houthakker,,
afdalen,zij dalen samen af via de berg,zij dalen samen af via de berg,,
kloppen,zij kloppen op raam via de keukendeur,zij kloppen op raam via de keukendeur,,
haasten,zij haasten zich naar school via het station,zij haasten zich naar school via het station,,
banjeren,zij banjereren door het centrum via het station,zij banjereren door het centrum via het station,,
glippen,zij glippen het huis uit via het raam,zij glippen het huis uit via het raam,,
knippen,zij knippen kaartjes via de kaartautomaat,zij knippen kaartjes via de kaartautomaat,,
wijken,zij wijken af van de tijd via sms,zij wijken af van de tijd via sms,,
schuifelen,zij schuifelen samen de dansvloer op via het midden,zij schuifelen samen de dansvloer op via het midden,,
slaaten,zij slaaten thuis via x,zij slaaten thuis via x,,
snijden,zij snijden zichzelf perongeluk via een mes,zij snijden zichzelf perongeluk via een mes,,
spoeden,zij spoeden zich naar de ehbo via thuis,zij spoeden zich naar de ehbo via thuis,,
sluipen,zij sluipen via de achterdeur,zij sluipen via de achterdeur,,
klimmen,zij klimmen de boom in via de takken,zij klimmen de boom in via de takken,,
marcheren,zij marcheren in het legeren via een bepaald ritme,zij marcheren in het legeren via een bepaald ritme,,
hardlopen,zij lopen samen hard via strava,zij lopen samen hard via strava,,
spoeden,zij spoeden zich naar het ziekenhuis via de snelweg,zij spoeden zich naar het ziekenhuis via de snelweg,,
marcheren,zij marcheren de stad in via de waalbrug,zij marcheren de stad in via de waalbrug,,
slingeren,zij slingeren via lianen,zij slingeren via lianen,,
sluipen,zij sluipen via een sluiproute,zij sluipen via een sluiproute,,
banjeren,zij banjeren via een bospad,zij banjeren via een bospad,,
hardlopen,zij lopen hard via de hardloopvereniging,zij lopen hard via de hardloopvereniging,,
hakken,x,x,,
schuifelen,zij schuifelen op muziek via de luidspreker,zij schuifelen op muziek via de luidspreker,,
wijken,zij wijken uit voor de werkzaamheden via een omweg,zij wijken uit voor de werkzaamheden via een omweg,,
glippen,zij glippen weg via de achterdeur,zij glippen weg via de achterdeur,,
snijden,zij snijden een stukje af via een sluiproute,zij snijden een stukje af via een sluiproute,,
knippen,x,x,,
dolen,x,x,,
kuieren,zij kuieren naar huis via het bosweggetje,zij kuieren naar huis via het bosweggetje,,
lopen,zij lopen via de route,zij lopen via de route,,
slaaten,x,x,,
haasten,zij haasten zich naar huis via de snelweg,zij haasten zich naar huis via de snelweg,,
kloppen,x,x,,
afdalen,zij dalen af via de route,zij dalen af via de route,,
walsen,x,x,,
klimmen,zij klimmen omhoog via het touw,zij klimmen omhoog via het touw,,
sluipen,zij sluipen naar huis via de weg,zij sluipen naar huis via de weg,,
glippen,zij glippen naar buiten via de deur,zij glippen naar buiten via de deur,,
slingeren,zij slingeren in het water via de tak,zij slingeren in het water via de tak,,
lopen,zij lopen met elkaar via de supermarkt,zij lopen met elkaar via de supermarkt,,
dolen,zij dolen over het leven via twitter,zij dolen over het leven via twitter,,
klimmen,zij klimmen naar boven via het dal,zij klimmen naar boven via het dal,,
wijken,zij wijken af van het plan via de telefoon,zij wijken af van het plan via de telefoon,,
marcheren,zij marcheren op het plein via de kerk,zij marcheren op het plein via de kerk,,
knippen,zij knippen zijn haar via zijn vrouw,zij knippen zijn haar via zijn vrouw,,
snijden,zij snijden de groente via het mes,zij snijden de groente via het mes,,
slaaten,zij slaaten over het ijs via de boom,zij slaaten over het ijs via de boom,,
banjeren,zij banjeren naar huis via het plein,zij banjeren naar huis via het plein,,
haasten,zij haasten naar het gesprek via het station,zij haasten naar het gesprek via het station,,
hardlopen,zij lopen hard via de toren,zij lopen hard via de toren,,
spoeden,zij spoeden naar het ziekenhuis via een tussenweg,zij spoeden naar het ziekenhuis via een tussenweg,,
kloppen,zij kloppen op de deur via skype,zij kloppen op de deur via skype,,
hakken,zij hakken het vlees via het mes,zij hakken het vlees via het mes,,
afdalen,zij dalen af via de berg,zij dalen af via de berg,,
kuieren,zij kuieren naar huis via de lantaarnpaal,zij kuieren naar huis via de lantaarnpaal,,
schuifelen,zij schuifelen op de dansvloer via het podium,zij schuifelen op de dansvloer via het podium,,
walsen,zij walsen het materiaal via de machine,zij walsen het materiaal via de machine,,
knippen,zij knippen via de krantenkop in het artikel,zij knippen via de krantenkop in het artikel,,
afdalen,zij dalen af via de berg,zij dalen af via de berg,,
slaaten,x,x,,
spoeden,zij spoeden via de zijweg,zij spoeden via de zijweg,,
kuieren,zij kuieren via het bospaadje,zij kuieren via het bospaadje,,
lopen,zij lopen via de grote weg,zij lopen via de grote weg,,
schuifelen,x,x,,
walsen,zij walsen via hun vrienden richting de zaal,zij walsen via hun vrienden richting de zaal,,
klimmen,zij klimmen via een omweg.,zij klimmen via een omweg.,,
hardlopen,zij lopen hard via het bospad.,zij lopen hard via het bospad.,,
slingeren,zij slingeren via het tuinpad naar de weg.,zij slingeren via het tuinpad naar de weg.,,
snijden,zij snijden via de aderen de kip.,zij snijden via de aderen de kip.,,
glippen,zij glippen via het tuinpad naar buiten.,zij glippen via het tuinpad naar buiten.,,
kloppen,zij kloppen via het raampje aan.,zij kloppen via het raampje aan.,,
wijken,zij wijken via de snelweg uit.,zij wijken via de snelweg uit.,,
dolen,zij dolen via het park richting centrum.,zij dolen via het park richting centrum.,,
banjeren,zij banjeren via de tuin de weg op.,zij banjeren via de tuin de weg op.,,
hakken,zij hakken via een omweg in het hout.,zij hakken via een omweg in het hout.,,
sluipen,zij sluipen via de kelder de woning in.,zij sluipen via de kelder de woning in.,,
haasten,zij haasten via de binnendoor weg naar het ongeluk.,zij haasten via de binnendoor weg naar het ongeluk.,,
marcheren,zij marcheren via de provinciale weg naar het centrum.,zij marcheren via de provinciale weg naar het centrum.,,
wijken,zij wijken uit voor een dier,zij wijken uit voor een dier,,
hakken,zij hakken met een bijl,zij hakken met een bijl,,
kuieren,zij kuieren over de weg,zij kuieren over de weg,,
slingeren,zij slingeren via de weg naar huis,zij slingeren via de weg naar huis,,
afdalen,zij dalen af via de berg,zij dalen af via de berg,,
walsen,x,x,,
sluipen,zij sluipen via de trap naar beneden.,zij sluipen via de trap naar beneden.,,
klimmen,zij klimmen via de muur omhoog,zij klimmen via de muur omhoog,,
kloppen,zij kloppen via de deur aan.,zij kloppen via de deur aan.,,
knippen,x,x,,
dolen,zij dolen via de weg naar huis.,zij dolen via de weg naar huis.,,
spoeden,x,x,,
slaaten,x,x,,
glippen,zij glippen via het raam er tussenuit,zij glippen via het raam er tussenuit,,
lopen,zij lopen via de weg,zij lopen via de weg,,
haasten,zij haasten zich via de deur naar buiten.,zij haasten zich via de deur naar buiten.,,
banjeren,zij banjeren via de tuin door het huis.,zij banjeren via de tuin door het huis.,,
hardlopen,zij lopen hard via de weg,zij lopen hard via de weg,,
marcheren,zij marcheren via de weg,zij marcheren via de weg,,
schuifelen,zij schuifelen voetje voor voetje via de stoep,zij schuifelen voetje voor voetje via de stoep,,
snijden,x,x,,
schuifelen,x,x,,
slaaten,x,x,,
hardlopen,ver hard via het bospad,ver hard via het bospad,,
lopen,naar huis via de kortste weg,naar huis via de kortste weg,,
marcheren,binnen via de via gladiola,binnen via de via gladiola,,
slingeren,de weg af via de vangrail,de weg af via de vangrail,,
klimmen,op de wand via de makkelijke route,op de wand via de makkelijke route,,
walsen,over het team via de flank,over het team via de flank,,
afdalen,de trap af via de leuning,de trap af via de leuning,,
kuieren,naar boven via het pad,naar boven via het pad,,
spoeden,naar het ongeluk via de korste route,naar het ongeluk via de korste route,,
banjeren,een weg via de modder,een weg via de modder,,
knippen,het haar via de achterkant,het haar via de achterkant,,
sluipen,naar binnen via de uitgang,naar binnen via de uitgang,,
dolen,x,x,,
snijden,de weg af via achter,de weg af via achter,,
glippen,weg via iemand anders hulp,weg via iemand anders hulp,,
haasten,x,x,,
kloppen,het team via directe winst,het team via directe winst,,
hakken,hout via het slaan van de bijl,hout via het slaan van de bijl,,
wijken,uit naar rechts via de middenberm,uit naar rechts via de middenberm,,
klimmen,zij klimmen via de ladder omhoog,zij klimmen via de ladder omhoog,,
afdalen,zij dalen af via de glijbaan,zij dalen af via de glijbaan,,
banjeren,zij banjeren via het paadje naar huis,zij banjeren via het paadje naar huis,,
snijden,x,x,,
hakken,x,x,,
slaaten,x,x,,
haasten,zij haasten zich naar huis via de snelste route,zij haasten zich naar huis via de snelste route,,
knippen,x,x,,
slingeren,zij slingeren via de stad naar huis,zij slingeren via de stad naar huis,,
kuieren,zij kuieren via het strand naar de zee,zij kuieren via het strand naar de zee,,
sluipen,zij sluipen via de nooduitgang naar buiten,zij sluipen via de nooduitgang naar buiten,,
marcheren,zij marcheren via de hoofdstraat naar de markt,zij marcheren via de hoofdstraat naar de markt,,
glippen,zij glippen via de achterdeur het huis in,zij glippen via de achterdeur het huis in,,
hardlopen,x,x,,
lopen,zij lopen via de bushalte naar het dorp,zij lopen via de bushalte naar het dorp,,
schuifelen,x,x,,
kloppen,x,x,,
walsen,x,x,,
dolen,zij dolen via de gangen door het doolhof,zij dolen via de gangen door het doolhof,,
wijken,x,x,,
spoeden,zij spoeden via de snelste route richting het ongeval,zij spoeden via de snelste route richting het ongeval,,
afdalen,zij dalen af via de muur,zij dalen af via de muur,,
knippen,zij knippen de haag via x,zij knippen de haag via x,,
haasten,zij haasten zich naar huis via een steeg,zij haasten zich naar huis via een steeg,,
slaaten,zij slaaten x,zij slaaten x,,
hakken,zij hakken de boomstam via x,zij hakken de boomstam via x,,
wijken,zij wijken voor de mannen via een omweg,zij wijken voor de mannen via een omweg,,
lopen,zij lopen naar de boot via een bepaalde straat,zij lopen naar de boot via een bepaalde straat,,
slingeren,zij slingeren naar een boom via een andere boom,zij slingeren naar een boom via een andere boom,,
sluipen,zij sluipen het huis binnen via het raam,zij sluipen het huis binnen via het raam,,
dolen,zij dolen in het doolhof via x,zij dolen in het doolhof via x,,
spoeden,zij spoeden x,zij spoeden x,,
glippen,zij glippen x,zij glippen x,,
kloppen,zij kloppen op de deur via een klopper,zij kloppen op de deur via een klopper,,
schuifelen,zij schuifelen naar binnen via de achterdeur,zij schuifelen naar binnen via de achterdeur,,
kuieren,zij kuieren naar de winkel via een bakker,zij kuieren naar de winkel via een bakker,,
banjeren,zij banjerenx,zij banjerenx,,
marcheren,zij marcheren naar de auto via een standbeeld,zij marcheren naar de auto via een standbeeld,,
walsen,zij walsen het metaal via een machine,zij walsen het metaal via een machine,,
klimmen,zij klimmen op de boom via een ladder,zij klimmen op de boom via een ladder,,
hardlopen,zij lopen heel hard via die berg,zij lopen heel hard via die berg,,
snijden,zij x,zij x,,
snijden,zij snijden naar de milt via de alvleesklier,zij snijden naar de milt via de alvleesklier,,
banjeren,"zij banjeren van deze plas via die plas, naar die plas","zij banjeren van deze plas via die plas, naar die plas",,
lopen,zij lopen naar het ziekenhuis via de sint-annastraat,zij lopen naar het ziekenhuis via de sint-annastraat,,
knippen,zij knippen die plant via de stam,zij knippen die plant via de stam,,
glippen,zij glippen de universiteit binnen via de achterdeur,zij glippen de universiteit binnen via de achterdeur,,
haasten,zij haasten zich naar de spoedeisende hulp via de hoofdingang,zij haasten zich naar de spoedeisende hulp via de hoofdingang,,
kuieren,zij kuieren naar de markt via de lange straat,zij kuieren naar de markt via de lange straat,,
wijken,zij wijken uit naar de vluchtstrook via de andere rijstroken,zij wijken uit naar de vluchtstrook via de andere rijstroken,,
kloppen,zij kloppen de slagroom via een garde,zij kloppen de slagroom via een garde,,
sluipen,zij sluipen via de achteringang naar binnen,zij sluipen via de achteringang naar binnen,,
walsen,zij walsen via de net gelegde weg over het dode eendje,zij walsen via de net gelegde weg over het dode eendje,,
klimmen,zij klimmen naar de kerktoren via het warenhuis,zij klimmen naar de kerktoren via het warenhuis,,
hakken,x,x,,
slaaten,x,x,,
spoeden,zij spoeden naar de wedstrijd via de zij-ingang,zij spoeden naar de wedstrijd via de zij-ingang,,
schuifelen,zij schuifelen naar het huis via de de achtertuin,zij schuifelen naar het huis via de de achtertuin,,
marcheren,zij marcheren naar de finish via de lange straat,zij marcheren naar de finish via de lange straat,,
afdalen,zij dalen helemaal af via de kloof,zij dalen helemaal af via de kloof,,
hardlopen,zij lopen niet zo hard naar het dorp via de berg,zij lopen niet zo hard naar het dorp via de berg,,
dolen,zij dolen naar rotterdam via amsterdam,zij dolen naar rotterdam via amsterdam,,
slingeren,zij slingeren de bal in het doel via de keeper,zij slingeren de bal in het doel via de keeper,,
wijken,zij wijken uit via de berm,zij wijken uit via de berm,,
wijken,zij wijken uit via de berm,zij wijken uit via de berm,,
hardlopen,zij lopen erg hard via de uitgestippelde route,zij lopen erg hard via de uitgestippelde route,,
spoeden,zij spoeden naar huis via landweggetjes,zij spoeden naar huis via landweggetjes,,
haasten,zij haasten zich naar de dokter via de autoweg,zij haasten zich naar de dokter via de autoweg,,
knippen,zij knippen het haar via het patroon,zij knippen het haar via het patroon,,
slingeren,zij slingeren naar de boomhut via de liaan,zij slingeren naar de boomhut via de liaan,,
slaaten,zij slaaten niks via huis,zij slaaten niks via huis,,
dolen,zij dolen in het bos via de sloten,zij dolen in het bos via de sloten,,
klimmen,zij klimmen op de berg via de paadjes,zij klimmen op de berg via de paadjes,,
afdalen,zij dalen de pas af via het pad,zij dalen de pas af via het pad,,
hakken,zij hakken de knoop door via de beslissing,zij hakken de knoop door via de beslissing,,
banjeren,zij banjeren de hele middag via het park,zij banjeren de hele middag via het park,,
walsen,zij walsen over het huis via een omweg,zij walsen over het huis via een omweg,,
schuifelen,zij schuifelen naar hun kamer via de gang,zij schuifelen naar hun kamer via de gang,,
lopen,zij lopen richting de stad via de brug,zij lopen richting de stad via de brug,,
kuieren,zij kuieren naar het café via het kanaal,zij kuieren naar het café via het kanaal,,
glippen,zij glippen door de deur via de kier,zij glippen door de deur via de kier,,
sluipen,zij sluipen naar binnen via het openstaande ruim,zij sluipen naar binnen via het openstaande ruim,,
marcheren,zij marcheren naar de kazerne via de zandweg,zij marcheren naar de kazerne via de zandweg,,
snijden,zij snijden de route af via het weiland,zij snijden de route af via het weiland,,
kloppen,zij kloppen op de deur via de buitenzijde,zij kloppen op de deur via de buitenzijde,,
